#{"t_start": 1776543431.8536737, "env_id": "LunarLanderContinuous-v3"}
r,l,t
240.901117,159,2912.960956
264.250473,175,2914.703433
284.75477,202,2916.759766
295.055208,215,2919.080522
259.859606,198,2921.439164
289.777874,191,2923.628658
282.950343,223,2926.203806
308.351025,314,2929.559894
307.5326,168,2931.170158
260.123769,282,2934.414396
295.346536,220,2937.149529
275.463299,186,2939.507003
291.344938,226,2941.690741
255.452817,183,2943.412604
286.493631,163,2944.970561
291.289331,185,2946.913082
308.661698,218,2949.607148
251.816836,255,2952.680574
294.49951,195,2954.852779
278.920881,354,2958.649468
291.153333,172,2960.653225
299.380742,217,2962.784509
291.791026,222,2964.913942
245.378663,155,2966.663662
307.327608,200,2968.903969
278.439542,204,2971.246442
316.198213,231,2973.912332
295.734861,209,2976.076837
297.319452,232,2978.532123
280.248156,235,2980.790571
296.764013,154,2982.571478
283.919169,230,2985.307101
283.981472,204,2987.945142
282.308907,169,2989.883857
283.226658,208,2992.043439
310.32006,230,2994.407992
260.776691,179,2996.522411
271.496364,204,2999.076476
271.590691,162,3001.012141
286.733132,182,3003.200143
270.255809,179,3005.113194
268.158713,183,3006.98997
268.079316,184,3008.901162
255.953143,184,3011.150639
253.591251,164,3013.255015
291.068108,204,3015.759831
293.399815,184,3017.889861
286.70265,192,3020.288112
284.483575,252,3023.444889
279.241115,975,3034.985487
284.725801,212,3037.548939
279.757574,185,3039.756898
306.504663,185,3041.901029
298.780163,397,3046.707645
283.777979,199,3049.048921
278.295507,174,3051.114561
287.65655,198,3053.472859
259.282231,152,3055.139377
258.385729,210,3057.265015
304.932002,190,3059.374399
289.758644,221,3061.710491
286.573187,194,3064.054799
322.05008,179,3066.23765
292.563215,227,3068.925825
285.694772,185,3070.931568
